target,model,feature_set,fold,metric,value
_MENT14D,LinearSVC,recommended,4,roc_auc,0.775424104970119
_MENT14D,LinearSVC,recommended,4,pr_auc,0.8220980711371638
_MENT14D,LinearSVC,recommended,4,brier,0.19246857416356458
_MENT14D,LogisticRegression,recommended,4,accuracy,0.7072
_MENT14D,LogisticRegression,recommended,4,precision,0.7702239789196311
_MENT14D,LogisticRegression,recommended,4,recall,0.7302023482388209
_MENT14D,LogisticRegression,recommended,4,f1,0.7496794049756348
_MENT14D,LogisticRegression,recommended,4,specificity,0.6726317106745088
_MENT14D,LogisticRegression,recommended,4,roc_auc,0.7752148283981608
_MENT14D,LogisticRegression,recommended,4,pr_auc,0.8215296813138606
_MENT14D,LogisticRegression,recommended,4,brier,0.1908464676457155
_MENT14D,RandomForest,recommended,5,accuracy,0.7269
_MENT14D,RandomForest,recommended,5,precision,0.780001710717646
_MENT14D,RandomForest,recommended,5,recall,0.759347156299442
_MENT14D,RandomForest,recommended,5,f1,0.7695358649789029
_MENT14D,RandomForest,recommended,5,specificity,0.6781379051432862
_MENT14D,RandomForest,recommended,5,roc_auc,0.7955471472564599
_MENT14D,RandomForest,recommended,5,pr_auc,0.841038277970956
_MENT14D,RandomForest,recommended,5,brier,0.1832069473671363
_MENT14D,LinearSVC,recommended,5,accuracy,0.70415
_MENT14D,LinearSVC,recommended,5,precision,0.7750090285301553
_MENT14D,LinearSVC,recommended,5,recall,0.7147972354067782
_MENT14D,LinearSVC,recommended,5,f1,0.7436863764349144
_MENT14D,LinearSVC,recommended,5,specificity,0.6881491678137905
_MENT14D,LinearSVC,recommended,5,roc_auc,0.7754139240603544
_MENT14D,LinearSVC,recommended,5,pr_auc,0.8237367935419012
_MENT14D,LinearSVC,recommended,5,brier,0.19207085471867882
_MENT14D,LogisticRegression,recommended,5,accuracy,0.7085
_MENT14D,LogisticRegression,recommended,5,precision,0.7712705241900079
_MENT14D,LogisticRegression,recommended,5,recall,0.7314514114414189
_MENT14D,LogisticRegression,recommended,5,f1,0.7508334045644927
_MENT14D,LogisticRegression,recommended,5,specificity,0.6740082592917032
_MENT14D,LogisticRegression,recommended,5,roc_auc,0.7749779685425312
_MENT14D,LogisticRegression,recommended,5,pr_auc,0.8231574548084982
_MENT14D,LogisticRegression,recommended,5,brier,0.19046705153700697
