model,metric,mean,std
LinearSVC,accuracy,0.7230000000000001,0.0020189725109569998
LinearSVC,brier,0.1841844577721869,0.0009741832220536324
LinearSVC,f1,0.47888493152479084,0.0034799455885670366
LinearSVC,pr_auc,0.48496417280499404,0.006153680098464836
LinearSVC,precision,0.3973824757198451,0.0027176226300217373
LinearSVC,recall,0.6024798976188542,0.0069659952385071906
LinearSVC,roc_auc,0.7432369135775455,0.0018080839139564683
LinearSVC,specificity,0.7552805340570262,0.003103566039243188
LogisticRegression,accuracy,0.7197,0.0022019877383854395
LogisticRegression,brier,0.1851500058188927,0.001014271134427118
LogisticRegression,f1,0.473017461899014,0.0027220463090874684
LogisticRegression,pr_auc,0.4888834950131331,0.006465780242621864
LogisticRegression,precision,0.39235313527258453,0.002574467087320405
LogisticRegression,recall,0.595474361307992,0.006091614422142236
LogisticRegression,roc_auc,0.7408394375527425,0.001533307898343666
LogisticRegression,specificity,0.7529730413565463,0.003626513607524833
RandomForest,accuracy,0.7578699999999999,0.004830191507590588
RandomForest,brier,0.16698194950163808,0.0008662689580091639
RandomForest,f1,0.49334115217673336,0.004396498652261083
RandomForest,pr_auc,0.502051771729463,0.006053943412845485
RandomForest,precision,0.4422442523920438,0.00772990142335851
RandomForest,recall,0.5579378152154737,0.006361673175509904
RandomForest,roc_auc,0.7654427327760637,0.0006707488977378217
RandomForest,specificity,0.8114206245628376,0.007093979281609671
