target,model,feature_set,fold,metric,value,balancing
_MENT14D,LightGBM,recommended,2,recall,0.7588475310184029,class_weight
_MENT14D,LightGBM,recommended,2,f1,0.7717975862799068,class_weight
_MENT14D,LightGBM,recommended,2,specificity,0.6880240270304092,class_weight
_MENT14D,LightGBM,recommended,2,roc_auc,0.7990934697029203,class_weight
_MENT14D,LightGBM,recommended,2,pr_auc,0.8431432172603605,class_weight
_MENT14D,LightGBM,recommended,2,brier,0.18026965277055984,class_weight
_MENT14D,RandomForest,recommended,3,accuracy,0.7287,class_weight
_MENT14D,RandomForest,recommended,3,precision,0.7879954501706186,class_weight
_MENT14D,RandomForest,recommended,3,recall,0.7499375468398701,class_weight
_MENT14D,RandomForest,recommended,3,f1,0.7684956054270842,class_weight
_MENT14D,RandomForest,recommended,3,specificity,0.6967838818671005,class_weight
_MENT14D,RandomForest,recommended,3,roc_auc,0.7972670019864445,class_weight
_MENT14D,RandomForest,recommended,3,pr_auc,0.8427448865369721,class_weight
_MENT14D,RandomForest,recommended,3,brier,0.18438085181856745,class_weight
_MENT14D,LinearSVC,recommended,3,accuracy,0.72745,class_weight
_MENT14D,LinearSVC,recommended,3,precision,0.7401142355008787,class_weight
_MENT14D,LinearSVC,recommended,3,recall,0.841618785910567,class_weight
_MENT14D,LinearSVC,recommended,3,f1,0.7876095850379895,class_weight
_MENT14D,LinearSVC,recommended,3,specificity,0.5558753597797522,class_weight
_MENT14D,LinearSVC,recommended,3,roc_auc,0.7850858769117172,class_weight
_MENT14D,LinearSVC,recommended,3,pr_auc,0.8337341563891865,class_weight
_MENT14D,LinearSVC,recommended,3,brier,0.18194700709895498,class_weight
_MENT14D,LogisticRegression,recommended,3,accuracy,0.71635,class_weight
_MENT14D,LogisticRegression,recommended,3,precision,0.7803539823008849,class_weight
_MENT14D,LogisticRegression,recommended,3,recall,0.7342826213673078,class_weight
_MENT14D,LogisticRegression,recommended,3,f1,0.7566176155133211,class_weight
_MENT14D,LogisticRegression,recommended,3,specificity,0.6894005756476036,class_weight
_MENT14D,LogisticRegression,recommended,3,roc_auc,0.7854331636872813,class_weight
_MENT14D,LogisticRegression,recommended,3,pr_auc,0.8338832835672576,class_weight
_MENT14D,LogisticRegression,recommended,3,brier,0.1879953909311461,class_weight
_MENT14D,XGBoost,recommended,3,accuracy,0.73805,class_weight
_MENT14D,XGBoost,recommended,3,precision,0.7530651913875598,class_weight
_MENT14D,XGBoost,recommended,3,recall,0.8387875759846781,class_weight
_MENT14D,XGBoost,recommended,3,f1,0.7936182785109317,class_weight
_MENT14D,XGBoost,recommended,3,specificity,0.586659992491553,class_weight
_MENT14D,XGBoost,recommended,3,roc_auc,0.8000740048976116,class_weight
_MENT14D,XGBoost,recommended,3,pr_auc,0.8437839197402595,class_weight
_MENT14D,XGBoost,recommended,3,brier,0.17549878358840942,class_weight
_MENT14D,LightGBM,recommended,3,accuracy,0.73415,class_weight
_MENT14D,LightGBM,recommended,3,precision,0.7906532314107019,class_weight
_MENT14D,LightGBM,recommended,3,recall,0.7579315513364976,class_weight
_MENT14D,LightGBM,recommended,3,f1,0.7739466859402236,class_weight
_MENT14D,LightGBM,recommended,3,specificity,0.6984107120510574,class_weight
_MENT14D,LightGBM,recommended,3,roc_auc,0.8020528788533532,class_weight
_MENT14D,LightGBM,recommended,3,pr_auc,0.8456660990204234,class_weight
_MENT14D,LightGBM,recommended,3,brier,0.17983106277270447,class_weight
_MENT14D,RandomForest,recommended,4,accuracy,0.72675,class_weight
_MENT14D,RandomForest,recommended,4,precision,0.7854650148316176,class_weight
_MENT14D,RandomForest,recommended,4,recall,0.7496877341993505,class_weight
_MENT14D,RandomForest,recommended,4,f1,0.7671594733926974,class_weight
_MENT14D,RandomForest,recommended,4,specificity,0.6922788136653736,class_weight
_MENT14D,RandomForest,recommended,4,roc_auc,0.7952924629933048,class_weight
_MENT14D,RandomForest,recommended,4,pr_auc,0.8372717648471576,class_weight
_MENT14D,RandomForest,recommended,4,brier,0.18462295264897358,class_weight
_MENT14D,LinearSVC,recommended,4,accuracy,0.72565,class_weight
_MENT14D,LinearSVC,recommended,4,precision,0.737855579868709,class_weight
