target,model,feature_set,fold,metric,value
ADDEPEV3,LinearSVC,recommended,4,accuracy,0.7226
ADDEPEV3,LinearSVC,recommended,4,precision,0.39691444600280507
ADDEPEV3,LinearSVC,recommended,4,recall,0.6028402366863905
ADDEPEV3,LinearSVC,recommended,4,f1,0.4786694230407818
ADDEPEV3,LinearSVC,recommended,4,specificity,0.754675118858954
ADDEPEV3,LinearSVC,recommended,4,roc_auc,0.743524279109894
ADDEPEV3,LinearSVC,recommended,4,pr_auc,0.47919607223902894
ADDEPEV3,LinearSVC,recommended,4,brier,0.18426737068286347
ADDEPEV3,LogisticRegression,recommended,4,accuracy,0.71885
ADDEPEV3,LogisticRegression,recommended,4,precision,0.39132462686567165
ADDEPEV3,LogisticRegression,recommended,4,recall,0.5957396449704142
ADDEPEV3,LogisticRegression,recommended,4,f1,0.47236558130806044
ADDEPEV3,LogisticRegression,recommended,4,specificity,0.7518225039619651
ADDEPEV3,LogisticRegression,recommended,4,roc_auc,0.7412845881900617
ADDEPEV3,LogisticRegression,recommended,4,pr_auc,0.4827824260803213
ADDEPEV3,LogisticRegression,recommended,4,brier,0.1851654652800008
ADDEPEV3,RandomForest,recommended,5,accuracy,0.75145
ADDEPEV3,RandomForest,recommended,5,precision,0.4323833726629152
ADDEPEV3,RandomForest,recommended,5,recall,0.5636535731187885
ADDEPEV3,RandomForest,recommended,5,f1,0.4893682588597843
ADDEPEV3,RandomForest,recommended,5,specificity,0.8017623938126031
ADDEPEV3,RandomForest,recommended,5,roc_auc,0.7644654010496463
ADDEPEV3,RandomForest,recommended,5,pr_auc,0.5104592085690611
ADDEPEV3,RandomForest,recommended,5,brier,0.16822002821955578
ADDEPEV3,LinearSVC,recommended,5,accuracy,0.72255
ADDEPEV3,LinearSVC,recommended,5,precision,0.3981837771279052
ADDEPEV3,LinearSVC,recommended,5,recall,0.6121628017037387
ADDEPEV3,LinearSVC,recommended,5,f1,0.48251422176629677
ADDEPEV3,LinearSVC,recommended,5,specificity,0.7521237479396475
ADDEPEV3,LinearSVC,recommended,5,roc_auc,0.7441480334115981
ADDEPEV3,LinearSVC,recommended,5,pr_auc,0.4946860167492442
ADDEPEV3,LinearSVC,recommended,5,brier,0.18536089214723886
ADDEPEV3,LogisticRegression,recommended,5,accuracy,0.7181
ADDEPEV3,LogisticRegression,recommended,5,precision,0.3916845658177355
ADDEPEV3,LogisticRegression,recommended,5,recall,0.6041173686701372
ADDEPEV3,LogisticRegression,recommended,5,f1,0.47524199553239016
ADDEPEV3,LogisticRegression,recommended,5,specificity,0.7486369975909725
ADDEPEV3,LogisticRegression,recommended,5,roc_auc,0.7412380977497401
ADDEPEV3,LogisticRegression,recommended,5,pr_auc,0.4991654832266319
ADDEPEV3,LogisticRegression,recommended,5,brier,0.18639090378943388
