name,tier,rf_importance,univariate,mi
HTM4,weak,0.0064765011191470845,0.07491183881092027,0.005791986603942423
INCOME3,moderate,0.006227539480348455,0.13516099212378788,0.008777477505507753
LCSFIRST,weak,0.006085008926089013,0.04555038811985259,0.008321937126049894
_HCVU654,weak,0.005744933659379323,0.1167355018570354,0.006956205180091789
_LCSYSMK,weak,0.005673524535393185,0.08211552862038078,0.006831388549385881
_AGE65YR,weak,0.005549710838840709,0.11493277215739606,0.006842886624177841
DIFFWALK,strong,0.005167165700905514,0.14225941049367377,0.009173280153188143
_INCOMG1,weak,0.004884190503162196,0.1252855253795732,0.00674024163002368
PRIMINS2,moderate,0.004870752809057962,0.12209776034800368,0.006750662772995571
MEDCOST1,moderate,0.004774437473739771,0.13654527428988222,0.008175397541741517
_LCSAGE,weak,0.004703574988223567,0.10914713530095888,0.0064567848937804664
MARITAL,moderate,0.00470243853362194,0.1284015518004811,0.008095727051767018
_RACE,weak,0.0046413579803344564,0.0724454184233787,0.0027660460958696224
CRVCLCNC,weak,0.004587179892273157,0.02555780294861952,0.004324920519734677
_LCSSMKG,weak,0.004458648226945635,0.13060496078353595,0.00753890346136938
_RACEGR3,weak,0.004103444249167336,0.06567745397736362,0.002179823743106709
_RACEPRV,weak,0.004049298501634948,0.07074557124184522,0.0026414103432985765
CHCCOPD3,strong,0.00400919862862979,0.12454264407214194,0.006796914660177349
LCSLAST_,weak,0.003983723592181895,0.017639562131381823,0.008181986173583011
CRVCLHPV,weak,0.003900119594553206,0.08506616185768874,0.006708422086469849
DIFFDRES,strong,0.003883066730406858,0.1285257546542683,0.006754791863405827
_DRNKWK3,weak,0.003877258816069605,0.07160327091706842,0.002622063210654382
RENTHOM1,moderate,0.003853139200099611,0.11836388485248164,0.006752258862835233
_SMOKER3,weak,0.0037591012585673897,0.12009916780719417,0.006810068140942142
FLSHTMY3,moderate,0.0037052421056159484,0.0006441434295499221,0.007868832406966897
DIABAGE4,strong,0.003610929641761584,0.1302194356823243,0.010603713251503333
_RACEG21,weak,0.0035696013028595572,0.045481739956617806,0.001058652618635473
EMTSUPRT,strong,0.0035210099099236853,0.22248001565638434,0.0072734349065653355
DROCDY4_,weak,0.0034258879851989128,0.03888137770701646,0.0024278045453107744
_LCSYQTS,weak,0.003409361337695058,0.18762854838115237,0.005647950673347587
PERSDOC3,moderate,0.003390762155567315,0.08206753323620448,0.003360287546222733
_PACKDAY,weak,0.003328483849665466,0.06077117415730281,0.0046285749411624
ALCDAY4,moderate,0.003316256045882077,0.02673325981918689,0.009008730010153343
LCSNUMC_,weak,0.0031977349520695016,0.005596196233047291,0.01622361517155979
LCSNUMCG,weak,0.003188774277576916,0.02478421318613052,0.0067563544625288685
SOFEMALE,weak,0.0030936364326989247,0.18090810452460443,0.006009053673587837
_MRACE1,weak,0.0030736140762778813,0.07189958289692788,0.002732451461034591
HHADULT,weak,0.0029601692165747676,0.016580869903870164,0.004670257960991853
_BMI5CAT,weak,0.0028942304488868598,0.0915269489516982,0.0041999781668115785
MAXDRNKS,moderate,0.0028319212534601563,0.007159326779258737,0.0017168562997378345
EDUCA,moderate,0.0028065059674245514,0.051323273070142894,0.0013504934597112217
SMOKE100,moderate,0.0026950628444955566,0.10337088748785642,0.0053977839547159345
SDHFOOD1,moderate,0.0026879283775265456,0.17343307472267436,0.00509928569599705
IMFVPLA5,weak,0.002587029832853446,0.04966239522609116,0.0009104752127196472
_EDUCAG,weak,0.002556674329810258,0.04956215805262152,0.001238857563535921
CHECKUP1,moderate,0.0023957410932885516,0.03625127804585081,0.0007425212532831847
LASTDEN4,moderate,0.0023661170324711083,0.08170104756729965,0.0033135491721970225
RMVTETH4,moderate,0.002324150943435888,0.07661365971115237,0.002795106713506952
PNEUVAC4,moderate,0.002296571777463639,0.03982090128575847,0.0010604357879068493
AVEDRNK4,moderate,0.0022514598714782506,0.0084898221299219,0.002404392974879155
HADMAM,weak,0.0022190361402852454,0.06023117277522109,0.0038005984593657426
COLNTES1,weak,0.002218797501253798,0.029564112930077626,0.000310737121083691
HOWLONG,weak,0.0021587220765758313,0.05336285778406824,0.0024368360822264864
_LCSCTSN,weak,0.0021263039825796513,0.07072061459130287,0.0022742549849389115
CIMEMLO1,strong,0.0020793874073338674,0.25559026472718255,0.0037370231712924576
_CHLDCNT,weak,0.0020312290736202864,0.03354017189507692,0.0005810094155134869
MARIJAN1,moderate,0.001938622657302615,0.13341508990125822,0.015949800181384033
SSBSUGR2,weak,0.0019334119571958281,0.05291498303069766,0.011369942361628693
_CURECI3,weak,0.001915998055575792,0.11980710671720413,0.00622856944088622
_CRVSCRN,weak,0.0019036453914775481,0.0425265545685096,0.002194842920618903
CHILDREN,moderate,0.0017986543671426806,0.020571742512884867,0.013245071869058433
FLUSHOT7,moderate,0.0017986302356288978,0.023421119134707496,0.0004768131224409005
SSBFRUT3,weak,0.0017857856702036194,0.03964959812178949,0.022699096224149784
LCSCTSC1,weak,0.0017422034025960534,0.06812602917077577,0.002604824150910725
CDHOUS1,strong,0.001697031818194345,0.278125470971148,0.0038039460933450174
DRNK3GE5,moderate,0.0015557178927360874,0.041427414963177735,0.01071735200140922
_FLSHOT7,weak,0.0015186134867140803,0.04587939980695412,0.003917248652985709
HOWSAFE1,moderate,0.0015153674095920657,0.09517596598273695,0.0018164791868770771
DIABETE4,strong,0.0015138969075012957,0.06007683881140992,0.0017178693656249872
SMOKDAY2,moderate,0.0014918372733692682,0.08926218717089116,0.004426417128539557
EXERANY2,moderate,0.001484025471440107,0.07640630451734817,0.0028034238771529156
BLIND,strong,0.0014427505896360392,0.08735189401741468,0.003372726039217093
CDSOCIA1,strong,0.0014291504150915886,0.2983808904061995,0.003646153458917307
_TOTINDA,weak,0.0014247751257003864,0.07639749911733089,0.0028026911159488898
PDIABTS1,weak,0.0014208421839939215,0.02960408374408651,0.00018159637135875068
HADHYST2,weak,0.001414811141019088,0.024572148090278995,0.0020129136865210725
_PNEUMO3,weak,0.0013694032718385338,0.06154351502819915,0.004388772852997963
_RFBMI5,weak,0.0013677705879518965,0.04908355315693892,0.0012309809897382493
LASTSMK2,weak,0.0013436158561715736,0.14974529361939018,0.00180689311380304
HIVRISK5,weak,0.0013412134896627443,0.0848292027005798,0.0030103708000513507
_DENVST3,weak,0.0013133288869507744,0.06977580143335832,0.0023777336283309723
SDHBILLS,moderate,0.0013112590912314353,0.15663415031007158,0.004339456071623435
SDHTRNSP,moderate,0.0013084297085928173,0.1513929937028376,0.0040356420514165645
CPDEMO1C,weak,0.001281890160055701,0.030750854339051427,0.000512638618310689
HADSIGM4,weak,0.0012790574411436846,0.027806672040144084,0.0008361157458783747
_CLNSCP2,weak,0.0012397715083915788,0.03511419761150424,0.0002655341837805719
_HADCOLN,weak,0.0012213561297609473,0.023956302956128182,0.0007064088652731781
_CRCREC3,weak,0.0011989728716847465,0.035835754912125796,0.0002843151423975107
_EXTETH3,weak,0.0011982792276601208,0.05165524486004651,0.0013318103337750728
SIGMTES1,weak,0.001168454857513383,0.05069333595620326,0.00022837508864252806
SDHUTILS,moderate,0.0011589401119530352,0.13569497564273933,0.00328121316084042
STOLTEST,weak,0.0011586553791420367,0.026541131892507792,4.503394385308503e-05
LCSSCNCR,weak,0.0011088880147818996,0.01763292637369596,0.0007109625104374778
_HISPANC,weak,0.0011026534030953324,0.03042770131486022,0.00048018378222754524
FOODSTMP,moderate,0.0010976423222228216,0.14148765318020903,0.0035771651774489455
_RFSMOK3,weak,0.0010737810662041509,0.10067564666696487,0.004647028784483864
CVDCRHD4,strong,0.0010643215446093574,0.040048582695292656,0.0007575164592243795
DEAF,strong,0.0010595604726726143,0.034490145740652685,0.0006014139793982221
_METSTAT,weak,0.0010567181039830083,0.0031024963537929114,1.1157945982082085e-05
_RFBING6,weak,0.0010430915917509175,0.04030288282894678,0.000839599237871122
CRGVPRB4,strong,0.0010427009660598165,0.08256350894584008,0.0005988279829501869
COLNCNCR,weak,0.0010351565761744731,0.04129661671459838,0.00010468903541626046
_RFBLDS6,weak,0.0010337881679989874,0.03473074630373002,0.0002631880987024812
SDHEMPLY,moderate,0.0010254965902426567,0.10387211890410686,0.0019764611053030507
LCSCTWHN,weak,0.0010018084024245209,0.05150876954938906,0.00026520066696122523
CHCOCNC1,strong,0.0009903321556537462,0.017310807972588285,0.00013810370891653462
_RFMAM23,weak,0.0009889301509694492,0.04191977907087124,0.0007536138530230378
_SBONTI2,weak,0.0009631787718942149,0.05238333700512505,0.0005509359261205368
NUMADULT,weak,0.0009508682624439233,0.03864893202635841,0.0006157246843426881
_HPV5YR1,weak,0.0009231811915721606,0.0658903201091239,0.0023850408100783566
