target,model,feature_set,fold,metric,value,balancing
ADDEPEV3,XGBoost,rf_top30,2,recall,0.4213784135240572,class_weight
ADDEPEV3,XGBoost,rf_top30,2,f1,0.5236586942469296,class_weight
ADDEPEV3,XGBoost,rf_top30,2,specificity,0.9496489077128846,class_weight
ADDEPEV3,XGBoost,rf_top30,2,roc_auc,0.8379882753278949,class_weight
ADDEPEV3,XGBoost,rf_top30,2,pr_auc,0.6255143872495055,class_weight
ADDEPEV3,XGBoost,rf_top30,2,brier,0.1172991618514061,class_weight
ADDEPEV3,LightGBM,rf_top30,2,accuracy,0.773727761233393,class_weight
ADDEPEV3,LightGBM,rf_top30,2,precision,0.4771204609406405,class_weight
ADDEPEV3,LightGBM,rf_top30,2,recall,0.7408582574772432,class_weight
ADDEPEV3,LightGBM,rf_top30,2,f1,0.58043482690466,class_weight
ADDEPEV3,LightGBM,rf_top30,2,specificity,0.7825317654926438,class_weight
ADDEPEV3,LightGBM,rf_top30,2,roc_auc,0.8381620644519259,class_weight
ADDEPEV3,LightGBM,rf_top30,2,pr_auc,0.6269061472760348,class_weight
ADDEPEV3,LightGBM,rf_top30,2,brier,0.15791138851853972,class_weight
ADDEPEV3,RandomForest,rf_top30,3,accuracy,0.7659256491686904,class_weight
ADDEPEV3,RandomForest,rf_top30,3,precision,0.46620653730954553,class_weight
ADDEPEV3,RandomForest,rf_top30,3,recall,0.7448634590377113,class_weight
ADDEPEV3,RandomForest,rf_top30,3,f1,0.5734767025089605,class_weight
ADDEPEV3,RandomForest,rf_top30,3,specificity,0.7715670976370932,class_weight
ADDEPEV3,RandomForest,rf_top30,3,roc_auc,0.8337246219563594,class_weight
ADDEPEV3,RandomForest,rf_top30,3,pr_auc,0.6204786109823559,class_weight
ADDEPEV3,RandomForest,rf_top30,3,brier,0.16092196315661275,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,accuracy,0.8347930242524807,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,precision,0.6860186418109188,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,recall,0.40197659297789334,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,f1,0.5069203017382748,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,specificity,0.9507216897012929,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,roc_auc,0.8321706633757849,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,pr_auc,0.6151705917702974,class_weight
ADDEPEV3,LinearSVC,rf_top30,3,brier,0.1194280039868973,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,accuracy,0.7692992384699069,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,precision,0.4704861690413427,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,recall,0.7334200260078023,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,f1,0.5732406391023296,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,specificity,0.7789093847525635,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,roc_auc,0.8328109511486973,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,pr_auc,0.6161537319594941,class_weight
ADDEPEV3,LogisticRegression,rf_top30,3,brier,0.16273258501425122,class_weight
ADDEPEV3,XGBoost,rf_top30,3,accuracy,0.8380567246513775,class_weight
ADDEPEV3,XGBoost,rf_top30,3,precision,0.684660961158657,class_weight
ADDEPEV3,XGBoost,rf_top30,3,recall,0.4327698309492848,class_weight
ADDEPEV3,XGBoost,rf_top30,3,f1,0.5303247601746502,class_weight
ADDEPEV3,XGBoost,rf_top30,3,specificity,0.9466116807846634,class_weight
ADDEPEV3,XGBoost,rf_top30,3,roc_auc,0.838413201206238,class_weight
ADDEPEV3,XGBoost,rf_top30,3,pr_auc,0.6288190899680349,class_weight
ADDEPEV3,XGBoost,rf_top30,3,brier,0.117144875228405,class_weight
ADDEPEV3,LightGBM,rf_top30,3,accuracy,0.7718706387841892,class_weight
ADDEPEV3,LightGBM,rf_top30,3,precision,0.4744804655029094,class_weight
ADDEPEV3,LightGBM,rf_top30,3,recall,0.742262678803641,class_weight
ADDEPEV3,LightGBM,rf_top30,3,f1,0.5789046653144017,class_weight
ADDEPEV3,LightGBM,rf_top30,3,specificity,0.7798010477039679,class_weight
ADDEPEV3,LightGBM,rf_top30,3,roc_auc,0.8383678618409419,class_weight
ADDEPEV3,LightGBM,rf_top30,3,pr_auc,0.6281714563308046,class_weight
ADDEPEV3,LightGBM,rf_top30,3,brier,0.15914565350457818,class_weight
ADDEPEV3,RandomForest,rf_top30,4,accuracy,0.7654531268887155,class_weight
ADDEPEV3,RandomForest,rf_top30,4,precision,0.46540634081039606,class_weight
ADDEPEV3,RandomForest,rf_top30,4,recall,0.7414304291287386,class_weight
ADDEPEV3,RandomForest,rf_top30,4,f1,0.5718526839444756,class_weight
ADDEPEV3,RandomForest,rf_top30,4,specificity,0.7718875390102541,class_weight
ADDEPEV3,RandomForest,rf_top30,4,roc_auc,0.8329132865751387,class_weight
ADDEPEV3,RandomForest,rf_top30,4,pr_auc,0.614822750250668,class_weight
ADDEPEV3,RandomForest,rf_top30,4,brier,0.16086285654993218,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,accuracy,0.8337600685706751,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,precision,0.6846327174402884,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,recall,0.395110533159948,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,f1,0.5010554089709762,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,specificity,0.9512511145786893,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,roc_auc,0.831232638516477,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,pr_auc,0.6100690200690645,class_weight
ADDEPEV3,LinearSVC,rf_top30,4,brier,0.1199862309366511,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,accuracy,0.7700245052252173,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,precision,0.4713463673991318,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,recall,0.7285825747724317,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,f1,0.5723918107147236,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,specificity,0.7811246098974588,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,roc_auc,0.8320877305322671,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,pr_auc,0.6114694722609804,class_weight
ADDEPEV3,LogisticRegression,rf_top30,4,brier,0.1620092518108071,class_weight
ADDEPEV3,XGBoost,rf_top30,4,accuracy,0.8368039911649322,class_weight
ADDEPEV3,XGBoost,rf_top30,4,precision,0.68424599831508,class_weight
ADDEPEV3,XGBoost,rf_top30,4,recall,0.4224707412223667,class_weight
ADDEPEV3,XGBoost,rf_top30,4,f1,0.5223990995336871,class_weight
ADDEPEV3,XGBoost,rf_top30,4,specificity,0.9477819884083817,class_weight
ADDEPEV3,XGBoost,rf_top30,4,roc_auc,0.8366962231725693,class_weight
ADDEPEV3,XGBoost,rf_top30,4,pr_auc,0.6229003968699035,class_weight
ADDEPEV3,XGBoost,rf_top30,4,brier,0.11782406270503998,class_weight
ADDEPEV3,LightGBM,rf_top30,4,accuracy,0.7717937165525653,class_weight
ADDEPEV3,LightGBM,rf_top30,4,precision,0.4744125846276384,class_weight
ADDEPEV3,LightGBM,rf_top30,4,recall,0.7435630689206763,class_weight
ADDEPEV3,LightGBM,rf_top30,4,f1,0.5792491439917337,class_weight
ADDEPEV3,LightGBM,rf_top30,4,specificity,0.7793552162282658,class_weight
ADDEPEV3,LightGBM,rf_top30,4,roc_auc,0.8370888628659484,class_weight
ADDEPEV3,LightGBM,rf_top30,4,pr_auc,0.6244565418490551,class_weight
ADDEPEV3,LightGBM,rf_top30,4,brier,0.1587794792850178,class_weight
ADDEPEV3,RandomForest,rf_top30,5,accuracy,0.766606960363073,class_weight
ADDEPEV3,RandomForest,rf_top30,5,precision,0.46729670044167315,class_weight
ADDEPEV3,RandomForest,rf_top30,5,recall,0.7484525357607282,class_weight
ADDEPEV3,RandomForest,rf_top30,5,f1,0.5753643761121219,class_weight
ADDEPEV3,RandomForest,rf_top30,5,specificity,0.7714695720017833,class_weight
ADDEPEV3,RandomForest,rf_top30,5,roc_auc,0.8362356184563795,class_weight
ADDEPEV3,RandomForest,rf_top30,5,pr_auc,0.6244176651482127,class_weight
ADDEPEV3,RandomForest,rf_top30,5,brier,0.16025720641537763,class_weight
ADDEPEV3,LinearSVC,rf_top30,5,accuracy,0.8361336688607818,class_weight
