target,prevalence,missingness,n_valid,baseline_roc_auc,baseline_f1,n_features,time_s
ADDEPEV3,0.21126,0.0,100000,0.7578567495390919,0.32164899580115586,17,1.0045053958892822
_MENT14D,0.6013491514386878,0.017159999999999953,98284,0.7597580507137652,0.7719941298234129,17,0.8857123851776123
MENTHLTH_b14,0.3474388096271152,0.60819,39181,0.7229599535525645,0.473428851691932,17,0.4033825397491455
LSATISFY_dissat,0.055327313769751696,0.5569999999999999,44300,0.8589758134477482,0.228968952914356,16,0.5234842300415039
